code,state
OAJ,NC
OAK,CA
OAR,CA
OBE,FL
OBU,AK
OCA,FL
OCE,MD
OCF,FL
OCH,TX
OCN,CA
OCW,NC
ODC,CA
ODM,MD
ODT,TX
ODW,WA
OEA,IL
OEO,WI
OFF,NE
OFK,NE
OGA,NE
OGB,SC
OGD,UT
OGG,HI
OGS,NY
OIC,NY
OJC,KS
OKC,OK
OKK,IN
OKM,OK
OKS,NE
OLD,ME
OLE,NY
OLF,MT
OLH,AK
OLM,WA
OLS,AZ
OLU,NE
OLV,MS
OLY,IL
OMA,NE
OME,AK
OMK,WA
ONA,MN
ONH,NY
ONL,NE
ONM,NM
ONO,OR
ONP,OR
ONT,CA
ONY,TX
OOA,IA
OOK,AK
OPF,FL
OPL,LA
ORD,IL
ORF,VA
ORH,MA
ORI,AK
ORL,FL
ORT,AK
ORV,AK
OSB,MO
OSC,MI
OSH,WI
OSU,OH
OSX,MS
OTG,MN
OTH,OR
OTK,OR
OTM,IA
OTN,IN
OTS,WA
OTZ,AK
OUN,OK
OVE,CA
OWA,MN
OWB,KY
OWD,MA
OWK,ME
OXC,CT
OXD,OH
OXR,CA
OZA,TX
OZR,AL
PAE,WA
PAH,KY
PAK,HI
PAM,FL
PAO,CA
PAQ,AK
PBF,AR
PBG,NY
PCA,AK
PCD,WI
PCT,NJ
PCU,MS
PDB,AK
PDK,GA
PDT,OR
PDX,OR
PEC,AK
PEQ,TX
PFC,OR
PGA,AZ
PGC,WV
PGD,FL
PGL,MS
PGM,AK
PGO,CO
PGR,AR
PGS,AZ
PGV,NC
PHD,OH
PHF,VA
PHK,FL
PHL,PA
PHN,MI
PHO,AK
PHP,SD
PHT,TN
PHX,AZ
PIA,IL
PIB,MS
PIE,FL
PIH,ID
PIM,GA
PIP,AK
PIR,SD
PIT,PA
PIZ,AK
PJB,AZ
PKA,AK
PKB,WV
PKD,MN
PKF,WI
PLK,MO
PLN,MI
PLR,AL
PLY,IN
PMB,ND
PMD,CA
PMH,OH
PML,AK
PNC,OK
PNE,PA
PNN,ME
PNS,FL
PNU,UT
PNX,TX
POB,NC
POC,CA
POE,LA
POF,MO
POH,IA
POU,NY
POY,WY
PPA,TX
PPC,AK
PPF,KS
PPM,FL
PPV,AK
PQI,ME
PQS,AK
PRB,CA
PRC,AZ
PRO,IA
PRW,WI
PRX,TX
PRZ,OR
PSB,PA
PSC,WA
PSF,MA
PSG,AK
PSK,VA
PSM,NH
PSN,TX
PSP,CA
PSQ,PA
PSX,TX
PTA,AK
PTB,VA
PTC,AK
PTD,AK
PTH,AK
PTK,MI
PTN,LA
PTS,KS
PTT,KS
PTU,AK
PTV,CA
PTW,PA
PUB,CO
PUC,UT
PUL,WA
PUW,WA
PVC,MA
PVD,RI
PVF,CA
PVL,KY
PVU,UT
PVW,TX
PWA,OK
PWD,MT
PWK,IL
PWM,ME
PWR,AK
PWT,WA
PWY,WY
PXL,AZ
PYL,AK
PYM,MA
PYS,CA
RAC,WI
RAL,CA
RAP,SD
RBD,TX
RBF,CA
RBG,OR
RBK,CA
RBL,CA
RBW,SC
RBY,AK
RCA,SD
RCE,WA
RCK,TX
RCR,IN
RDB,AK
RDD,CA
RDG,PA
RDM,OR
RDR,ND
RDU,NC
RDV,AK
RED,PA
REE,TX
REO,OR
RFD,IL
RFG,TX
RFK,MS
RGR,TX
RHI,WI
RHV,CA
RIC,VA
RID,IN
RIE,WI
RIF,UT
RIL,CO
RIR,CA
RIV,CA
RIW,WY
RKD,ME
RKH,SC
RKP,TX
RKR,OK
RKS,WY
RKW,TN
RLA,MO
RLD,WA
RME,NY
RMG,GA
RMP,AK
RMY,CA
RNC,TN
RND,TX
RNH,WI
RNO,NV
RNT,WA
RNZ,IN
ROA,VA
ROC,NY
ROF,CA
ROG,AR
ROL,UT
ROW,NM
ROX,MN
RPX,MT
RQO,OK
RRL,WI
RRT,MN
RSH,AK
RSJ,WA
RSL,KS
RSN,LA
RST,MN
RSW,FL
RSX,NY
RTL,IA
RTN,NM
RUI,NM
RUT,VT
RVR,UT
RVS,OK
RWF,MN
RWI,NC
RWL,WY
RXE,ID
SAA,WY
SAC,CA
SAD,AZ
SAF,NM
SAN,CA
SAR,IL
SAS,CA
SAT,TX
SAV,GA
SBA,CA
SBD,CA
SBM,WI
SBN,IN
SBO,UT
SBP,CA
SBS,CO
SBX,MT
SBY,MD
SCB,NE
SCC,AK
SCE,PA
SCF,AZ
SCH,NY
SCK,CA
SCM,AK
SDF,KY
SDM,CA
SDP,AK
SDX,AZ
SDY,MT
SEA,WA
SEE,CA
SEF,FL
SEG,PA
SEM,AL
SEP,TX
SER,IN
SFB,FL
SFF,WA
SFM,ME
SFO,CA
SFZ,RI
SGF,MO
SGH,OH
SGR,TX
SGT,AR
SGU,UT
SGW,AK
SGY,AK
SHD,VA
SHG,AK
SHH,AK
SHN,WA
SHR,WY
SHV,LA
SHX,AK
SIK,MO
SIT,AK
SIV,IN
SIY,CA
SJC,CA
SJN,AZ
SJT,TX
SKA,WA
SKF,TX
SKK,AK
SKW,AK
SLB,IA
SLC,UT
SLE,OR
SLG,AR
SLK,NY
SLN,KS
SLO,IL
SLQ,AK
SLR,TX
SLT,CO
SMD,IN
SME,KY
SMF,CA
SMK,AK
SMN,ID
SMO,CA
SMU,AK
SMX,CA
SNA,CA
SNK,TX
SNL,OK
SNP,AK
SNS,CA
SNY,NE
SOL,AK
SOP,NC
SOV,AK
SOW,AZ
SPA,SC
SPF,SD
SPG,FL
SPI,IL
SPQ,CA
SPS,TX
SPW,IA
SPZ,AR
SQA,CA
SQI,IL
SQL,CA
SQV,WA
SRC,AR
SRQ,FL
SRV,AK
SRW,NC
SSC,SC
SSF,TX
SSI,GA
SSW,WA
STC,MN
STE,WI
STG,AK
STJ,MO
STK,CO
STL,MO
STP,MN
STQ,PA
STS,CA
SUA,FL
SUD,OK
SUE,WI
SUM,SC
SUN,ID
SUO,OR
SUS,MO
SUU,CA
SUW,WI
SUX,IA
SVA,AK
SVC,NM
SVE,CA
SVH,NC
SVN,GA
SVS,AK
SVW,AK
SWD,AK
SWF,NY
SWO,OK
SWW,TX
SXP,AK
SXQ,AK
SXY,NY
SYA,AK
SYB,AK
SYI,TN
SYL,CA
SYN,MN
SYR,NY
SYV,GA
SZL,MO
SZN,CA
SZP,CA
TAD,CO
TAL,AK
TBC,AZ
TBN,MO
